year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state,price
2010.0,toyota,corolla s,like new,4 cylinders,gas,152000.0,clean,automatic,4wd,sedan,silver,fl,7900
2013.0,hyundai,sonata,excellent,4 cylinders,gas,153622.0,clean,automatic,fwd,sedan,white,il,6850
2010.0,ford,taurus,good,6 cylinders,gas,135170.0,clean,automatic,4wd,sedan,white,mi,5995
2012.0,gmc,acadia,like new,6 cylinders,gas,60000.0,clean,automatic,4wd,SUV,blue,ca,15000
2015.0,chrysler,200,excellent,4 cylinders,gas,132000.0,clean,automatic,4wd,sedan,white,mi,11999
2010.0,chevrolet,corvette grand sport,good,8 cylinders,other,56302.0,clean,other,rwd,other,red,ga,37990
2010.0,volvo,other,excellent,6 cylinders,gas,153555.0,clean,automatic,4wd,sedan,white,ma,6999
2013.0,porsche,cayenne,good,6 cylinders,gas,98927.0,clean,automatic,4wd,SUV,white,dc,32991
2012.0,nissan,murano,excellent,6 cylinders,gas,81200.0,rebuilt,automatic,fwd,SUV,black,tx,8500
2017.0,toyota,yaris ia,good,4 cylinders,gas,90616.0,clean,automatic,fwd,sedan,custom,ca,11995
2013.0,bmw,x3,excellent,6 cylinders,gas,102365.0,clean,automatic,4wd,sedan,white,fl,12900
2020.0,chevrolet,spark,good,4 cylinders,gas,10692.0,clean,automatic,fwd,sedan,silver,mt,15980
2018.0,chevrolet,silverado,good,6 cylinders,gas,67000.0,clean,automatic,4wd,sedan,white,la,0
2002.0,honda,accord,excellent,6 cylinders,gas,94000.0,clean,automatic,fwd,sedan,white,fl,7500
2015.0,bmw,other,good,6 cylinders,gas,58608.0,clean,automatic,rwd,sedan,white,or,483
2012.0,acura,tl,excellent,6 cylinders,gas,120865.0,clean,automatic,fwd,sedan,grey,ca,12999
2019.0,ram,other,good,8 cylinders,gas,20369.0,clean,automatic,4wd,pickup,red,or,55000
2015.0,chevrolet,silverado 1500,good,6 cylinders,gas,71830.0,clean,automatic,4wd,truck,silver,ca,26991
2008.0,toyota,sienna xle,like new,6 cylinders,gas,105491.0,clean,automatic,4wd,mini-van,blue,ct,0
2016.0,ford,transit connect,excellent,4 cylinders,gas,87854.0,clean,automatic,fwd,sedan,white,tx,16995
2010.0,dodge,grand caravan se,excellent,6 cylinders,gas,54800.0,lien,automatic,fwd,mini-van,blue,wa,7500
2011.0,audi,q5,good,4 cylinders,gas,84332.0,clean,other,4wd,SUV,white,wa,13999
2012.0,infiniti,other,good,6 cylinders,gas,84446.0,clean,automatic,fwd,sedan,white,md,0
2017.0,kia,cadenza,good,6 cylinders,gas,39971.0,clean,automatic,fwd,sedan,white,or,288
2010.0,lexus,other,excellent,4 cylinders,gas,119715.0,clean,automatic,4wd,sedan,white,wa,10495
2011.0,mazda,other,good,4 cylinders,gas,142000.0,clean,manual,fwd,hatchback,grey,ca,6000
2015.0,chevrolet,silverado 1500,good,6 cylinders,gas,91271.0,clean,automatic,4wd,pickup,black,ar,34944
2014.0,buick,encore,good,6 cylinders,gas,190000.0,clean,automatic,4wd,sedan,white,ar,6950
2008.0,toyota,tundra sr5,excellent,8 cylinders,gas,67000.0,clean,automatic,4wd,pickup,red,ma,20000
2016.0,gmc,canyon crew cab sle pickup,good,6 cylinders,gas,34425.0,clean,other,4wd,pickup,red,nc,34990
2014.0,chevrolet,express cargo van,excellent,6 cylinders,gas,83280.0,clean,automatic,rwd,sedan,white,ca,17498
2014.0,mercedes-benz,sclass,good,6 cylinders,gas,59884.0,clean,automatic,4wd,sedan,black,tx,0
2013.0,ford,mustang,excellent,6 cylinders,gas,79195.0,clean,automatic,rwd,convertible,red,ny,13300
2020.0,buick,encore gx select sport,good,6 cylinders,other,5144.0,clean,other,4wd,SUV,red,il,22590
2010.0,honda,crv,good,4 cylinders,gas,174413.0,clean,automatic,4wd,SUV,black,md,7995
2018.0,bmw,x5 xdrive40e iperformance,good,6 cylinders,hybrid,24235.0,clean,automatic,4wd,other,blue,nc,38990
2005.0,toyota,corolla ce,excellent,4 cylinders,gas,170152.0,clean,automatic,fwd,sedan,white,ks,4450
2008.0,lexus,is,good,6 cylinders,gas,159936.0,clean,automatic,rwd,sedan,white,hi,9900
1955.0,chevrolet,other,excellent,8 cylinders,gas,100000.0,clean,manual,rwd,coupe,blue,tn,52900
2006.0,ford,super duty f250,excellent,8 cylinders,diesel,209405.0,clean,automatic,4wd,truck,white,ky,17895
2013.0,honda,civic sedan,excellent,4 cylinders,gas,173823.0,clean,automatic,fwd,sedan,grey,oh,8850
2009.0,honda,crv,good,4 cylinders,gas,133000.0,clean,automatic,fwd,hatchback,blue,ok,7000
2004.0,mercedes-benz,benz e500,excellent,6 cylinders,gas,102713.0,clean,automatic,rwd,sedan,silver,mi,7500
2015.0,chevrolet,other,good,6 cylinders,other,22739.0,clean,automatic,fwd,sedan,grey,id,13995
2009.0,toyota,rav4,good,6 cylinders,gas,107174.0,clean,automatic,4wd,SUV,blue,va,11800
2007.0,nissan,frontier 4x4,good,6 cylinders,gas,273000.0,clean,automatic,4wd,truck,grey,co,5500
2004.0,toyota,highlander,good,6 cylinders,gas,0.0,clean,automatic,fwd,SUV,blue,ga,0
1999.0,ford,explorer,good,6 cylinders,gas,169000.0,clean,automatic,4wd,sedan,black,pa,2995
2013.0,volkswagen,passat,good,5 cylinders,gas,93253.0,clean,other,fwd,sedan,black,id,9499
2018.0,jaguar,epace p250 se sport,good,6 cylinders,gas,8490.0,clean,other,4wd,other,black,ky,35990
2013.0,nissan,other,good,6 cylinders,gas,120628.0,clean,automatic,4wd,sedan,white,nc,0
2005.0,aston-martin,other,good,6 cylinders,gas,31000.0,clean,automatic,4wd,sedan,white,sc,37000
2018.0,ford,f250 super duty,good,6 cylinders,gas,14120.0,clean,automatic,4wd,truck,white,or,1029
2018.0,lincoln,mkx reserve sport,good,6 cylinders,gas,29109.0,clean,other,4wd,other,black,az,32590
2007.0,toyota,tundra,excellent,8 cylinders,gas,133000.0,rebuilt,automatic,fwd,pickup,white,tx,9997
2010.0,volkswagen,jetta sportwagen,excellent,6 cylinders,diesel,92171.0,clean,automatic,fwd,wagon,silver,id,8997
2020.0,infiniti,qx60 luxe sport utility,good,6 cylinders,gas,6500.0,clean,automatic,4wd,other,blue,ca,39990
2014.0,gmc,sierra,excellent,8 cylinders,gas,192000.0,clean,automatic,4wd,sedan,white,ga,18900
2017.0,ford,other,good,6 cylinders,gas,69106.0,clean,automatic,4wd,pickup,white,nm,42995
1968.0,ford,mustang,like new,8 cylinders,gas,500.0,clean,automatic,rwd,convertible,white,oh,29000
2013.0,acura,rdx,like new,6 cylinders,gas,67488.0,clean,automatic,4wd,SUV,silver,ma,16990
2007.0,acura,rdx,good,6 cylinders,gas,126000.0,clean,automatic,4wd,sedan,white,fl,7970
2010.0,ford,econoline,good,10 cylinders,gas,105000.0,clean,automatic,rwd,sedan,white,oh,10900
2005.0,ford,escape,good,6 cylinders,gas,219476.0,clean,automatic,4wd,SUV,silver,nj,3000
2016.0,bmw,x1,good,6 cylinders,gas,56806.0,clean,automatic,4wd,sedan,white,oh,19995
2009.0,mercedes-benz,cclass,like new,4 cylinders,gas,125324.0,clean,automatic,4wd,sedan,white,va,2800
2012.0,volvo,s60 t5,good,6 cylinders,gas,114850.0,clean,automatic,4wd,sedan,grey,ga,8105
2012.0,ford,f150,excellent,6 cylinders,gas,127072.0,clean,automatic,4wd,sedan,silver,tx,16500
2004.0,hyundai,other,good,4 cylinders,gas,107698.0,clean,automatic,fwd,sedan,silver,ia,4000
2006.0,ford,explorer,good,6 cylinders,gas,255280.0,clean,automatic,4wd,SUV,white,ct,2488
2010.0,toyota,prius,excellent,4 cylinders,hybrid,175999.0,clean,automatic,fwd,sedan,white,nc,7499
2018.0,toyota,tundra crewmax sr5 pickup,good,8 cylinders,other,34035.0,clean,other,4wd,pickup,silver,ca,41990
2008.0,mercedes-benz,benz c300,good,6 cylinders,gas,67600.0,clean,automatic,4wd,sedan,red,ca,10200
2020.0,subaru,legacy limited,like new,4 cylinders,gas,23136.0,clean,automatic,4wd,sedan,white,ny,25995
1994.0,pontiac,trans am,like new,8 cylinders,gas,32000.0,clean,manual,rwd,hatchback,white,ct,26900
2017.0,volkswagen,jetta,good,4 cylinders,gas,58000.0,clean,automatic,fwd,sedan,grey,ca,14900
2019.0,honda,civic,good,6 cylinders,gas,11764.0,clean,automatic,fwd,sedan,black,va,19795
2004.0,ford,f150,good,8 cylinders,gas,200000.0,rebuilt,automatic,fwd,truck,white,nm,2200
2018.0,jeep,compass latitude,good,6 cylinders,other,23081.0,clean,automatic,4wd,other,white,wi,20887
2012.0,hyundai,accent,excellent,6 cylinders,gas,193430.0,clean,manual,fwd,hatchback,red,ca,4985
1970.0,buick,riviera,excellent,8 cylinders,gas,123456.0,clean,automatic,rwd,coupe,blue,tx,12000
2006.0,acura,mdx awd,excellent,6 cylinders,gas,136267.0,clean,automatic,4wd,SUV,white,ca,8750
2020.0,gmc,yukon slt sport utility 4d,good,8 cylinders,gas,32497.0,clean,other,4wd,other,blue,wi,45590
2005.0,subaru,other,good,6 cylinders,gas,221622.0,clean,automatic,4wd,SUV,grey,mt,3750
2005.0,gmc,yukon xl denali,excellent,8 cylinders,gas,229128.0,clean,automatic,4wd,SUV,grey,mn,5990
2014.0,subaru,forester 20xt touring,good,6 cylinders,gas,96200.0,clean,automatic,4wd,SUV,white,wi,14000
2014.0,ford,mustang,good,8 cylinders,gas,72349.0,clean,automatic,rwd,other,white,ia,26995
2008.0,chevrolet,other,fair,8 cylinders,gas,360000.0,clean,automatic,4wd,truck,red,wa,6000
2007.0,mercedes-benz,other,excellent,8 cylinders,gas,61000.0,clean,automatic,4wd,convertible,white,ca,22999
2018.0,toyota,corolla,excellent,4 cylinders,gas,21949.0,clean,automatic,4wd,sedan,blue,mn,16000
2002.0,gmc,sonoma,good,6 cylinders,gas,169274.0,clean,automatic,4wd,sedan,black,wi,1050
1992.0,nissan,other,excellent,4 cylinders,gas,135707.0,clean,automatic,rwd,sedan,white,tx,8000
2018.0,toyota,4runner,good,6 cylinders,gas,41570.0,clean,automatic,4wd,wagon,silver,tx,38952
2015.0,ford,mustang,good,6 cylinders,other,15266.0,clean,other,rwd,coupe,white,ca,0
2014.0,lexus,es 350 sedan 4d,good,6 cylinders,gas,17726.0,clean,other,fwd,sedan,white,ma,23990
2007.0,ford,ranger sport,excellent,6 cylinders,gas,200000.0,clean,automatic,4wd,pickup,white,tx,5300
2007.0,ford,f750,good,6 cylinders,diesel,69829.0,clean,automatic,4wd,other,white,nv,41500
2007.0,volkswagen,jetta sedan,excellent,4 cylinders,gas,136485.0,clean,manual,fwd,sedan,white,ia,5500
2019.0,chevrolet,camaro,good,6 cylinders,gas,8496.0,clean,manual,rwd,sedan,white,tx,70641
2015.0,ford,f350sd,good,6 cylinders,diesel,67040.0,clean,automatic,rwd,sedan,white,ca,0
2014.0,chevrolet,cruze ls,good,6 cylinders,gas,123258.0,clean,automatic,4wd,sedan,white,ok,7995
2019.0,chevrolet,express,good,6 cylinders,gas,34775.0,clean,automatic,rwd,van,white,tn,25199
1994.0,chevrolet,blazer,good,8 cylinders,gas,190000.0,clean,automatic,4wd,SUV,black,ny,4000
2016.0,toyota,tundra double cab sr,good,8 cylinders,gas,49164.0,clean,other,4wd,pickup,red,nc,32990
2018.0,rover,evoque,excellent,4 cylinders,gas,18360.0,clean,automatic,4wd,SUV,white,mi,37965
2006.0,chevrolet,aveo,good,6 cylinders,gas,131672.0,clean,automatic,fwd,sedan,black,wa,4998
1969.0,dodge,charger rt,good,6 cylinders,gas,1700.0,clean,manual,4wd,sedan,white,il,79999
2009.0,subaru,forester,good,4 cylinders,gas,202000.0,clean,automatic,4wd,sedan,blue,ny,2500
2014.0,ford,taurus,good,6 cylinders,gas,185600.0,clean,automatic,4wd,sedan,white,mn,5200
